# Minitial =  6.50 msun, Z = 0.0016, Mfinal = 1.046 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  te126    126   1.6058489E-09  2.9048031E-09  1.2989542E-09  5.3260046E-10  2.3817967E-10  3.4949687E-01
   i127    127   1.4001189E-10  1.7593784E-09  1.6193665E-09  3.2258496E-10  2.9693137E-10  3.5988055E-02
  xe128    128   5.3834298E-10  6.3234384E-10  9.4000863E-11  1.1594130E-10  1.7236249E-11  8.2779539E-01
  xe129    129   8.9608765E-11  2.4811724E-09  2.3915636E-09  4.5492710E-10  4.3852350E-10  1.5948942E-02
  xe130    130   1.0254946E-09  1.1762820E-09  1.5078742E-10  2.1567326E-10  2.7648783E-11  8.9212030E-01
  xe131    131   3.0390579E-10  2.2000499E-09  1.8961441E-09  4.0338283E-10  3.4768205E-10  6.4535141E-02
  xe132    132   1.8057258E-09  3.7349186E-09  1.9291928E-09  6.8480355E-10  3.5374192E-10  2.8687945E-01
  xe133    133  -4.1212531E-30 -4.1212531E-30  0.0000000E+00 -7.5563861E-31  0.0000000E+00  0.0000000E+00
  xe134    134   1.6299155E-09  2.5107929E-09  8.8087743E-10  4.6035806E-10  1.6152003E-10  4.5486939E-01
  cs133    133   2.3319474E-10  8.8998520E-10  6.5679046E-10  1.6318027E-10  1.2043085E-10  1.3192995E-01
  cs134    134  -2.8725875E-15 -2.8725875E-15  0.0000000E+00 -5.2669372E-16  0.0000000E+00  0.0000000E+00
  cs135    135   8.6844354E-10  8.6844354E-10  0.0000000E+00  1.5923057E-10  0.0000000E+00  0.0000000E+00
  cs136    136   1.2682243E-26  1.2682243E-26  0.0000000E+00  2.3253104E-27  0.0000000E+00  0.0000000E+00
  cs137    137   2.5728789E-11  2.5728789E-11  0.0000000E+00  4.7174166E-12  0.0000000E+00  0.0000000E+00
  ba134    134   2.0815363E-10  3.4718067E-10  1.3902704E-10  6.3656157E-11  2.5492370E-11  3.9743018E-01
  ba135    135   1.2959078E-12  6.4380523E-10  6.4250932E-10  1.1804277E-10  1.1781222E-10  8.4905763E-04
  ba136    136   1.5586270E-09  1.9549709E-09  3.9634385E-10  3.5844716E-10  7.2674665E-11  6.9304210E-01
  ba137    137   5.6908287E-09  6.5554868E-09  8.6465818E-10  1.2019594E-09  1.5854604E-10  8.7973440E-01
  ba138    138   9.0687875E-09  1.2375567E-08  3.3067795E-09  2.2690809E-09  6.0633992E-10  5.7313383E-01
  la139    139   9.1365943E-10  1.4105452E-09  4.9688581E-10  2.5862582E-10  9.1110314E-11  4.5310435E-01
  ce140    140   1.8199410E-09  2.7318614E-09  9.1192043E-10  5.0089133E-10  1.6721216E-10  4.7647566E-01
  ce141    141  -8.7744563E-23 -8.7744563E-23  0.0000000E+00 -1.6088111E-23  0.0000000E+00  0.0000000E+00
  ce142    142   3.1192013E-10  5.5100635E-10  2.3908622E-10  1.0102794E-10  4.3839488E-11  3.6257601E-01
  pr141    141   1.8611088E-10  4.2031428E-10  2.3420341E-10  7.7065326E-11  4.2944162E-11  2.5395489E-01
  nd142    142   2.6374330E-10  4.5162168E-10  1.8787837E-10  8.2805589E-11  3.4449877E-11  3.8087198E-01
  nd143    143   6.5786168E-11  2.3271302E-10  1.6692685E-10  4.2668320E-11  3.0608151E-11  1.4426844E-01
  nd144    144   1.9646815E-10  4.8277721E-10  2.8630906E-10  8.8518005E-11  5.2498391E-11  2.2688565E-01
  nd145    145   3.4376016E-11  1.5530194E-10  1.2092592E-10  2.8474870E-11  2.2173300E-11  1.0863144E-01
  nd146    146   1.6640267E-10  3.5712877E-10  1.9072610E-10  6.5480156E-11  3.4972050E-11  2.7238864E-01
  nd147    147   4.6524954E-28  4.6524954E-28  0.0000000E+00  8.5304282E-29  0.0000000E+00  0.0000000E+00
