# Minitial =  2.50 msun, Z = 0.0016, Mfinal = 0.680 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  nd148    148   5.4281257E-10  5.7577926E-10  3.2966699E-11  3.1636224E-10  1.8114820E-11  1.2421507E+00
  pm147    147   2.6298244E-26  2.6298244E-26  0.0000000E+00  1.4449585E-26  0.0000000E+00  0.0000000E+00
  pm148    148   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  sm147    147   3.6766781E-10  3.9078923E-10  2.3121420E-11  2.1471937E-10  1.2704954E-11  1.2278981E+00
  sm148    148   7.9488366E-10  8.0582230E-10  1.0938620E-11  4.4275952E-10  6.0106460E-12  1.8672467E+00
  sm149    149   1.4581299E-10  1.6982848E-10  2.4015503E-11  9.3312358E-11  1.3196243E-11  8.4948885E-01
  sm150    150   7.0701817E-10  7.1343664E-10  6.4184504E-12  3.9199816E-10  3.5268646E-12  2.0458953E+00
  sm151    151   1.2676770E-12  1.2676770E-12  0.0000000E+00  6.9652590E-13  0.0000000E+00  0.0000000E+00
  sm152    152   6.4053068E-10  6.8521044E-10  4.4679756E-11  3.7648926E-10  2.4551014E-11  1.1856833E+00
  eu151    151   1.0162059E-10  1.3260629E-10  3.0985700E-11  7.2860599E-11  1.7026287E-11  6.3137281E-01
  eu152    152   1.4109819E-18  1.4109819E-18  0.0000000E+00  7.7526484E-19  0.0000000E+00  0.0000000E+00
  eu153    153   1.1857688E-10  1.5535001E-10  3.6773123E-11  8.5357152E-11  2.0206409E-11  6.2575078E-01
  eu154    154   9.6964117E-19  9.6964117E-19  0.0000000E+00  5.3276992E-19  0.0000000E+00  0.0000000E+00
  eu155    155   1.6613936E-22  1.6613936E-22  0.0000000E+00  9.1285362E-23  0.0000000E+00  0.0000000E+00
  gd152    152   2.6388418E-13  5.5952693E-13  2.9564274E-13  3.0743238E-13  1.6245227E-13  2.7702385E-01
  gd153    153   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  gd154    154   8.4517567E-11  8.7213334E-11  2.6957668E-12  4.7919415E-11  1.4812928E-12  1.5098705E+00
  gd155    155   1.8679884E-10  2.2177896E-10  3.4980113E-11  1.2185658E-10  1.9221170E-11  8.0206919E-01
  gd156    156   5.0772375E-10  5.5419253E-10  4.6468801E-11  3.0450140E-10  2.5534073E-11  1.0764692E+00
  gd157    157   2.3334659E-10  2.7107253E-10  3.7725940E-11  1.4894096E-10  2.0729972E-11  8.5641545E-01
  gd158    158   9.6908037E-10  1.0221491E-09  5.3068761E-11  5.6162042E-10  2.9160674E-11  1.2846453E+00
