# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, with c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  sn116    116   1.9820154E-09  2.1502657E-09  1.6825033E-10  8.0958795E-10  6.3351456E-11  1.1065074E+00
  sn117    117   5.6903254E-10  7.2429274E-10  1.5526018E-10  2.7270056E-10  5.8460264E-11  6.6882521E-01
  sn118    118   2.8819531E-09  3.2336891E-09  3.5173592E-10  1.2175033E-09  1.3243945E-10  9.6345282E-01
  sn119    119   8.2852009E-10  9.3602237E-10  1.0750227E-10  3.5241804E-10  4.0477934E-11  9.3983978E-01
  sn120    120   4.9011839E-09  5.3422582E-09  4.4107426E-10  2.0113924E-09  1.6607810E-10  1.0831845E+00
  sb121    121   3.4742789E-10  4.6105619E-10  1.1362829E-10  1.7359042E-10  4.2784571E-11  6.0823858E-01
  te122    122   6.1333266E-10  6.5939032E-10  4.6057661E-11  2.4826441E-10  1.7342135E-11  1.1558119E+00
  te123    123   2.2458108E-10  2.4098987E-10  1.6408798E-11  9.0734129E-11  6.1784198E-12  1.1668932E+00
  te124    124   1.1872646E-09  1.2745502E-09  8.7285575E-11  4.7987581E-10  3.2865721E-11  1.1643857E+00
  te125    125   3.9365944E-10  6.6283695E-10  2.6917751E-10  2.4956209E-10  1.0135367E-10  3.9133918E-01
  te126    126   2.3042557E-09  2.9368190E-09  6.3256334E-10  1.1057300E-09  2.3817967E-10  6.6674435E-01
   i127    127   2.8934510E-10  1.0779426E-09  7.8859752E-10  4.0585188E-10  2.9693137E-10  1.3571148E-01
  xe128    128   7.3953837E-10  7.8531481E-10  4.5776445E-11  2.9567573E-10  1.7236249E-11  1.2343730E+00
  xe129    129   2.6662661E-10  1.4312679E-09  1.1646413E-09  5.3888094E-10  4.3852350E-10  8.9499973E-02
  xe130    130   1.5112870E-09  1.5847172E-09  7.3430304E-11  5.9665556E-10  2.7648783E-11  1.3340477E+00
  xe131    131   5.6740779E-10  1.4907902E-09  9.2338237E-10  5.6129146E-10  3.4768205E-10  2.0800616E-01
  xe132    132   3.1263530E-09  4.0658295E-09  9.3947639E-10  1.5308093E-09  3.5374192E-10  6.3623452E-01
  xe133    133   2.0373058E-40  2.0373058E-40  0.0000000E+00  7.6705677E-41  0.0000000E+00  0.0000000E+00
  xe134    134   3.0503333E-09  3.4793022E-09  4.2896880E-10  1.3099781E-09  1.6152003E-10  9.0903765E-01
  cs133    133   4.2153381E-10  7.4137696E-10  3.1984315E-10  2.7913288E-10  1.2043085E-10  3.6507329E-01
  cs134    134  -1.4263383E-18 -1.4263383E-18  0.0000000E+00 -5.3702494E-19  0.0000000E+00  0.0000000E+00
  cs135    135   1.5067022E-09  1.5067022E-09  0.0000000E+00  5.6728244E-10  0.0000000E+00  0.0000000E+00
  cs136    136   5.6940537E-37  5.6940537E-37  0.0000000E+00  2.1438454E-37  0.0000000E+00  0.0000000E+00
  cs137    137   3.3764216E-13  3.3764216E-13  0.0000000E+00  1.2712430E-13  0.0000000E+00  0.0000000E+00
  ba134    134   3.9743614E-10  4.6513940E-10  6.7703253E-11  1.7512777E-10  2.5492370E-11  8.3694482E-01
  ba135    135   8.5817686E-11  3.9870623E-10  3.1288855E-10  1.5011530E-10  1.1781222E-10  1.0523462E-01
  ba136    136   3.5425003E-09  3.7355115E-09  1.9301112E-10  1.4064425E-09  7.2674665E-11  1.2867390E+00
  ba137    137   1.1522049E-08  1.1943119E-08  4.2107040E-10  4.4966564E-09  1.5854604E-10  1.4527344E+00
  ba138    138   4.6977746E-08  4.8588078E-08  1.6103322E-09  1.8293703E-08  6.0633992E-10  1.4795854E+00
  la139    139   5.6452909E-09  5.8872640E-09  2.4197297E-10  2.2165902E-09  9.1110314E-11  1.3861179E+00
  ce140    140   1.7282696E-08  1.7726782E-08  4.4408610E-10  6.6742398E-09  1.6721216E-10  1.6011339E+00
  ce141    141   2.1542475E-34  2.1542475E-34  0.0000000E+00  8.1108708E-35  0.0000000E+00  0.0000000E+00
  ce142    142   2.9452845E-09  3.0617144E-09  1.1642998E-10  1.1527539E-09  4.3839488E-11  1.4198711E+00
  pr141    141   1.7828488E-09  1.8969009E-09  1.1405214E-10  7.1419454E-10  4.2944162E-11  1.2209125E+00
  nd142    142   3.6495902E-09  3.7410830E-09  9.1492813E-11  1.4085402E-09  3.4449877E-11  1.6115816E+00
  nd143    143   8.2753504E-10  9.0882490E-10  8.1289871E-11  3.4217804E-10  3.0608151E-11  1.0484151E+00
  nd144    144   2.5582871E-09  2.6977136E-09  1.3942650E-10  1.0157054E-09  5.2498391E-11  1.2866218E+00
  nd145    145   4.7864535E-10  5.3753374E-10  5.8888387E-11  2.0238468E-10  2.2173300E-11  9.6034729E-01
  nd146    146   2.2917277E-09  2.3846074E-09  9.2879607E-11  8.9781899E-10  3.4972050E-11  1.4094677E+00
  nd147    147   1.0257779E-37  1.0257779E-37  0.0000000E+00  3.8621156E-38  0.0000000E+00  0.0000000E+00
  nd148    148   3.0537600E-10  3.5348580E-10  4.8109780E-11  1.3308953E-10  1.8114820E-11  8.6610985E-01
  pm147    147  -5.5432818E-18 -5.5432818E-18  0.0000000E+00 -2.0870788E-18  0.0000000E+00  0.0000000E+00
  pm148    148   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  sm147    147   2.7240110E-10  3.0614322E-10  3.3742124E-11  1.1526476E-10  1.2704954E-11  9.5772350E-01
  sm148    148   5.7854227E-10  5.9450550E-10  1.5963219E-11  2.2383490E-10  6.0106460E-12  1.5710067E+00
  sm149    149   1.0601886E-10  1.4106576E-10  3.5046899E-11  5.3112105E-11  1.3196243E-11  6.0474318E-01
  sm150    150   4.9154680E-10  5.0091353E-10  9.3667322E-12  1.8859696E-10  3.5268646E-12  1.7281458E+00
  sm151    151   1.6404023E-14  1.6404023E-14  0.0000000E+00  6.1762132E-15  0.0000000E+00  0.0000000E+00
  sm152    152   4.3921128E-10  5.0441445E-10  6.5203176E-11  1.8991507E-10  2.4551014E-11  8.8848996E-01
  eu151    151   7.2513773E-11  1.1773260E-10  4.5218825E-11  4.4327032E-11  1.7026287E-11  4.1554868E-01
  eu152    152   6.4942022E-19  6.4942022E-19  0.0000000E+00  2.4451061E-19  0.0000000E+00  0.0000000E+00
  eu153    153   8.0343010E-11  1.3400768E-10  5.3664670E-11  5.0454696E-11  2.0206409E-11  3.9741245E-01
  eu154    154  -4.3491803E-17 -4.3491803E-17  0.0000000E+00 -1.6374925E-17  0.0000000E+00  0.0000000E+00
  eu155    155  -4.0204323E-17 -4.0204323E-17  0.0000000E+00 -1.5137169E-17  0.0000000E+00  0.0000000E+00
  gd152    152   6.5020336E-14  4.9646501E-13  4.3144467E-13  1.8692205E-13  1.6245227E-13  6.0934749E-02
  gd153    153  -2.1652386E-29 -2.1652386E-29  0.0000000E+00 -8.1522538E-30  0.0000000E+00  0.0000000E+00
  gd154    154   5.3374742E-11  5.7308797E-11  3.9340536E-12  2.1577106E-11  1.4812928E-12  1.1633523E+00
  gd155    155   1.4203960E-10  1.9308764E-10  5.1048048E-11  7.2698660E-11  1.9221170E-11  5.7774663E-01
  gd156    156   3.4048805E-10  4.0830206E-10  6.7814011E-11  1.5372818E-10  2.5534073E-11  7.7963340E-01
  gd157    157   1.6140711E-10  2.1646226E-10  5.5055158E-11  8.1499342E-11  2.0729972E-11  5.9455544E-01
  gd158    158   6.7679051E-10  7.5423612E-10  7.7445619E-11  2.8397443E-10  2.9160674E-11  9.8848170E-01
