# Minitial =  5.00 msun, Z = 0.0016, Mfinal = 0.918 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
  ru102    102   3.2418406E-09  3.7234484E-09  4.8160798E-10  9.1216285E-10  1.1799059E-10  8.8822502E-01
  rh103    103   5.0641857E-10  8.5730995E-10  3.5089137E-10  2.1002204E-10  8.5965943E-11  3.8793844E-01
  pd104    104   1.6671362E-09  1.7419932E-09  7.4856968E-11  4.2674994E-10  1.8339436E-11  1.3667874E+00
  pd105    105   3.8839862E-10  7.1622075E-10  3.2782213E-10  1.7545830E-10  8.0314137E-11  3.3938190E-01
  pd106    106   1.8094866E-09  2.1196702E-09  3.1018371E-10  5.1927251E-10  7.5992844E-11  8.3462262E-01
  pd107    107   3.4637052E-10  3.4637052E-10  0.0000000E+00  8.4853145E-11  0.0000000E+00  0.0000000E+00
  pd108    108   2.1613284E-09  2.4394027E-09  2.7807415E-10  5.9759991E-10  6.8126227E-11  9.4309616E-01
  ag107    107  -1.3537449E-11  2.9375907E-10  3.0729652E-10  7.1964497E-11  7.5285500E-11 -1.9593058E-02
  ag108    108   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ag109    109   5.0748955E-10  7.6964685E-10  2.6215730E-10  1.8854651E-10  6.4226707E-11  4.6770287E-01
  cd108    108   2.3433237E-12  2.3433237E-12  0.0000000E+00  5.7406266E-13  0.0000000E+00  0.0000000E+00
  cd109    109  -3.5544447E-24 -3.5544447E-24  0.0000000E+00 -8.7076064E-25  0.0000000E+00  0.0000000E+00
  cd110    110   1.7931105E-09  1.8785276E-09  8.5417014E-11  4.6019785E-10  2.0926573E-11  1.3422465E+00
  cd111    111   5.6199623E-10  7.8302381E-10  2.2102756E-10  1.9182358E-10  5.4150205E-11  5.4930192E-01
  cd112    112   2.1562419E-09  2.4935245E-09  3.3728270E-10  6.1085853E-10  8.2631908E-11  8.6879289E-01
  cd113    113   6.1259509E-10  8.1428353E-10  2.0168842E-10  1.9948153E-10  4.9412256E-11  6.0606802E-01
  cd114    114   2.9834135E-09  3.3010272E-09  3.1761377E-10  8.0867896E-10  7.7813152E-11  1.0167232E+00
  in115    115   5.5148364E-10  7.3255674E-10  1.8107311E-10  1.7946025E-10  4.4361650E-11  6.0696054E-01
  sn116    116   3.9451078E-09  4.2036925E-09  2.5858474E-10  1.0298120E-09  6.3351456E-11  1.2110014E+00
  sn117    117   1.1145574E-09  1.3531776E-09  2.3862012E-10  3.3149869E-10  5.8460264E-11  7.5362104E-01
  sn118    118   5.3036104E-09  5.8441949E-09  5.4058463E-10  1.4316990E-09  1.3243945E-10  1.0338343E+00
  sn119    119   1.4789112E-09  1.6441319E-09  1.6522077E-10  4.0277609E-10  4.0477934E-11  9.9784535E-01
  sn120    120   7.6797324E-09  8.3576213E-09  6.7788908E-10  2.0474331E-09  1.6607810E-10  1.0908973E+00
  sb121    121   5.3183341E-10  7.0646927E-10  1.7463588E-10  1.7306941E-10  4.2784571E-11  6.0693312E-01
  te122    122   9.3844066E-10  1.0092269E-09  7.0786238E-11  2.4723837E-10  1.7342135E-11  1.1540133E+00
  te123    123   3.3909867E-10  3.6431744E-10  2.5218759E-11  8.9249746E-11  6.1784198E-12  1.1597296E+00
  te124    124   1.7370945E-09  1.8712440E-09  1.3414961E-10  4.5841356E-10  3.2865721E-11  1.1445143E+00
  te125    125   5.5138005E-10  9.6508024E-10  4.1370021E-10  2.3642338E-10  1.0135367E-10  3.6785096E-01
  te126    126   3.1192389E-09  4.0914285E-09  9.7218966E-10  1.0023098E-09  2.3817967E-10  6.2409729E-01
   i127    127   3.4068670E-10  1.5526861E-09  1.2119994E-09  3.8037387E-10  2.9693137E-10  1.0755460E-01
  xe128    128   9.8492670E-10  1.0552808E-09  7.0354042E-11  2.5852054E-10  1.7236249E-11  1.1760523E+00
  xe129    129   2.7291969E-10  2.0628625E-09  1.7899429E-09  5.0535587E-10  4.3852350E-10  6.1604425E-02
  xe130    130   1.9064605E-09  2.0193158E-09  1.1285538E-10  4.9468790E-10  2.7648783E-11  1.2526553E+00
  xe131    131   6.4892480E-10  2.0680757E-09  1.4191509E-09  5.0663296E-10  3.4768205E-10  1.6351119E-01
  xe132    132   3.5369736E-09  4.9808593E-09  1.4438857E-09  1.2202007E-09  3.5374192E-10  5.3774476E-01
  xe133    133   6.9255736E-31  6.9255736E-31  0.0000000E+00  1.6966129E-31  0.0000000E+00  0.0000000E+00
  xe134    134   3.0729423E-09  3.7322265E-09  6.5928418E-10  9.1431324E-10  1.6152003E-10  7.5286865E-01
  cs133    133   4.6808413E-10  9.5965258E-10  4.9156845E-10  2.3509375E-10  1.2043085E-10  2.9050335E-01
  cs134    134  -1.5139776E-15 -1.5139776E-15  0.0000000E+00 -3.7089114E-16  0.0000000E+00  0.0000000E+00
  cs135    135   1.6398326E-09  1.6398326E-09  0.0000000E+00  4.0172285E-10  0.0000000E+00  0.0000000E+00
  cs136    136   3.2587272E-28  3.2587272E-28  0.0000000E+00  7.9831632E-29  0.0000000E+00  0.0000000E+00
  cs137    137   1.3584076E-12  1.3584076E-12  0.0000000E+00  3.3277995E-13  0.0000000E+00  0.0000000E+00
  ba134    134   4.2091017E-10  5.2496363E-10  1.0405346E-10  1.2860452E-10  2.5492370E-11  7.0284599E-01
  ba135    135   7.2097550E-11  5.5297744E-10  4.8087989E-10  1.3546729E-10  1.1781222E-10  6.0644120E-02
  ba136    136   3.3440426E-09  3.6406824E-09  2.9663974E-10  8.9188695E-10  7.2674665E-11  1.0889268E+00
  ba137    137   1.1176602E-08  1.1823747E-08  6.4714512E-10  2.8965577E-09  1.5854604E-10  1.2617267E+00
  ba138    138   1.9160522E-08  2.1635449E-08  2.4749274E-09  5.3002083E-09  6.0633992E-10  9.4157678E-01
  la139    139   1.9087474E-09  2.2806368E-09  3.7188944E-10  5.5870575E-10  9.1110314E-11  7.8761560E-01
  ce140    140   3.8268890E-09  4.5094071E-09  6.8251810E-10  1.1047053E-09  1.6721216E-10  8.1997859E-01
  ce141    141   6.7432285E-27  6.7432285E-27  0.0000000E+00  1.6519423E-27  0.0000000E+00  0.0000000E+00
  ce142    142   5.9116007E-10  7.7010187E-10  1.7894179E-10  1.8865799E-10  4.3839488E-11  6.3380975E-01
  pr141    141   3.8443365E-10  5.5972094E-10  1.7528728E-10  1.3711930E-10  4.2944162E-11  5.0419444E-01
  nd142    142   6.2078004E-10  7.6139578E-10  1.4061574E-10  1.8652518E-10  3.4449877E-11  7.3354983E-01
  nd143    143   1.4501325E-10  2.6994804E-10  1.2493478E-10  6.6131323E-11  3.0608151E-11  3.3457011E-01
  nd144    144   4.2426251E-10  6.3854777E-10  2.1428526E-10  1.5643013E-10  5.2498391E-11  4.7417444E-01
  nd145    145   7.7807767E-11  1.6831361E-10  9.0505846E-11  4.1233128E-11  2.2173300E-11  2.6941597E-01
  nd146    146   3.5885142E-10  5.0159854E-10  1.4274712E-10  1.2288059E-10  3.4972050E-11  5.4576218E-01
  nd147    147   1.6200226E-29  1.6200226E-29  0.0000000E+00  3.9686984E-30  0.0000000E+00  0.0000000E+00
  nd148    148   5.3252965E-11  1.2719312E-10  7.3940153E-11  3.1159512E-11  1.8114820E-11  2.3555662E-01
  pm147    147  -3.9396429E-16 -3.9396429E-16  0.0000000E+00 -9.6512569E-17  0.0000000E+00  0.0000000E+00
  pm148    148   6.3443281E-34  6.3443281E-34  0.0000000E+00  1.5542206E-34  0.0000000E+00  0.0000000E+00
  sm147    147   4.1799821E-11  9.3658255E-11  5.1858434E-11  2.2944209E-11  1.2704954E-11  2.5669998E-01
  sm148    148   8.1388535E-11  1.0592248E-10  2.4533948E-11  2.5948674E-11  6.0106460E-12  6.3519400E-01
  sm149    149   1.3371606E-11  6.7235356E-11  5.3863750E-11  1.6471180E-11  1.3196243E-11  9.6274413E-02
  sm150    150   7.6985238E-11  9.1381014E-11  1.4395775E-11  2.2386334E-11  3.5268646E-12  8.0259418E-01
  sm151    151   7.8226186E-15  7.8226186E-15  0.0000000E+00  1.9163693E-15  0.0000000E+00  0.0000000E+00
  sm152    152   6.3210867E-11  1.6342194E-10  1.0021108E-10  4.0034774E-11  2.4551014E-11  2.1236795E-01
  eu151    151   6.8158118E-12  7.6312845E-11  6.9497033E-11  1.8694966E-11  1.7026287E-11  4.0604718E-02
  eu152    152   1.7880367E-18  1.7880367E-18  0.0000000E+00  4.3802962E-19  0.0000000E+00  0.0000000E+00
  eu153    153   7.1529727E-12  8.9630463E-11  8.2477490E-11  2.1957488E-11  2.0206409E-11  3.6093503E-02
  eu154    154  -1.0336595E-16 -1.0336595E-16  0.0000000E+00 -2.5322381E-17  0.0000000E+00  0.0000000E+00
  eu155    155  -4.6012947E-16 -4.6012947E-16  0.0000000E+00 -1.1272158E-16  0.0000000E+00  0.0000000E+00
  gd152    152   2.1115911E-13  8.7424854E-13  6.6308943E-13  2.1417163E-13  1.6245227E-13  1.2003618E-01
  gd153    153  -4.3064055E-25 -4.3064055E-25  0.0000000E+00 -1.0549745E-25  0.0000000E+00  0.0000000E+00
  gd154    154   9.0783284E-12  1.5124594E-11  6.0462655E-12  3.7051924E-12  1.4812928E-12  3.9816988E-01
  gd155    155   1.7879413E-11  9.6335405E-11  7.8455992E-11  2.3600051E-11  1.9221170E-11  8.9133121E-02
  gd156    156   4.6625877E-11  1.5084956E-10  1.0422368E-10  3.6954818E-11  2.5534073E-11  1.6055097E-01
  gd157    157   2.0039116E-11  1.0465365E-10  8.4614538E-11  2.5637839E-11  2.0729972E-11  9.2282712E-02
  gd158    158   9.5342054E-11  2.1436861E-10  1.1902655E-10  5.2515586E-11  2.9160674E-11  2.5549066E-01
