#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
xe134     absolute  1.009700e-10  2.360614e-09  3.479302e-09  3.732227e-09  2.510793e-09
cs133     absolute  8.881275e-11  1.012341e-09  7.413770e-10  9.596526e-10  8.899852e-10
cs134     absolute  0.000000e+00  3.948460e-28 -1.426338e-18 -1.513978e-15 -2.872588e-15
cs135     absolute  3.598216e-11  2.130168e-09  1.506702e-09  1.639833e-09  8.684435e-10
cs136     absolute  0.000000e+00  0.000000e+00  5.694054e-37  3.258727e-28  1.268224e-26
cs137     absolute  1.060429e-17  2.148120e-12  3.376422e-13  1.358408e-12  2.572879e-11
ba134     absolute  3.429708e-11  8.469210e-10  4.651394e-10  5.249636e-10  3.471807e-10
ba135     absolute  7.753542e-11  5.296837e-10  3.987062e-10  5.529774e-10  6.438052e-10
ba136     absolute  1.723885e-10  5.497457e-09  3.735512e-09  3.640682e-09  1.954971e-09
ba137     absolute  2.041293e-10  7.154966e-09  1.194312e-08  1.182375e-08  6.555487e-09
ba138     absolute  1.744478e-09  7.602360e-08  4.858808e-08  2.163545e-08  1.237557e-08
la139     absolute  2.183416e-10  9.240239e-09  5.887264e-09  2.280637e-09  1.410545e-09
ce140     absolute  5.902073e-10  2.809443e-08  1.772678e-08  4.509407e-09  2.731861e-09
ce141     absolute  0.000000e+00  0.000000e+00  2.154248e-34  6.743228e-27 -8.774456e-23
ce142     absolute  3.315492e-11  2.574629e-09  3.061714e-09  7.701019e-10  5.510064e-10
pr141     absolute  7.105507e-11  2.953127e-09  1.896901e-09  5.597209e-10  4.203143e-10
nd142     absolute  1.552723e-10  6.547151e-09  3.741083e-09  7.613958e-10  4.516217e-10
nd143     absolute  3.751102e-11  1.200260e-09  9.088249e-10  2.699480e-10  2.327130e-10
nd144     absolute  9.171737e-11  3.638784e-09  2.697714e-09  6.385478e-10  4.827772e-10
nd145     absolute  2.438067e-11  6.939053e-10  5.375337e-10  1.683136e-10  1.553019e-10
nd146     absolute  7.690593e-11  3.284441e-09  2.384607e-09  5.015985e-10  3.571288e-10
nd147     absolute  0.000000e+00  0.000000e+00  1.025778e-37  1.620023e-29  4.652495e-28
nd148     absolute  1.538036e-11  5.757793e-10  3.534858e-10  1.271931e-10  1.270423e-10
pm147     absolute  1.158426e-38  2.629824e-26 -5.543282e-18 -3.939643e-16 -4.592981e-16
pm148     absolute  0.000000e+00  0.000000e+00  0.000000e+00  6.344328e-34  4.055993e-31
sm147     absolute  1.437301e-11  3.907892e-10  3.061432e-10  9.365825e-11  8.734546e-11
sm148     absolute  1.819706e-11  8.058223e-10  5.945055e-10  1.059225e-10  6.698972e-11
sm149     absolute  1.038794e-11  1.698285e-10  1.410658e-10  6.723536e-11  7.576273e-11
sm150     absolute  1.387734e-11  7.134366e-10  5.009135e-10  9.138101e-11  5.821198e-11
sm151     absolute  7.037479e-16  1.267677e-12  1.640402e-14  7.822619e-15  8.891035e-14
sm152     absolute  2.541614e-11  6.852104e-10  5.044144e-10  1.634219e-10  1.634946e-10
eu151     absolute  1.198704e-11  1.326063e-10  1.177326e-10  7.631285e-11  9.218593e-11
eu152     absolute  1.692212e-24  1.410982e-18  6.494202e-19  1.788037e-18  9.111794e-18
eu153     absolute  1.413238e-11  1.553500e-10  1.340077e-10  8.963046e-11  1.100786e-10
eu154     absolute  6.869708e-25  9.696412e-19 -4.349180e-17 -1.033660e-16  6.255048e-16
eu155     absolute  2.583288e-30  1.661394e-22 -4.020432e-17 -4.601295e-16  6.473314e-17
gd152     absolute  9.849498e-14  5.595269e-13  4.964650e-13  8.742485e-13  1.554705e-12
