#test case: FRUITY database models from Straniero et al. 2014 
#modelname                         mass             Z   remnantmass      lifetime
[stellarmodels]
7
A:m1p5z3m4                         1.50      3.00e-04         0.647  1.850000e+09
B:m2p0z3m4                         2.00      3.00e-04         0.669  8.460000e+08
C:m2p5z3m4                         2.50      3.00e-04         0.725  4.920000e+08
D:m3p0z3m4                         3.00      3.00e-04         0.823  3.020000e+08
E:m4p0z3m4                         4.00      3.00e-04         0.887  1.480000e+08
F:m5p0z3m4                         5.00      3.00e-04         0.955  8.930000e+07
G:m6p0z3m4                         6.00      3.00e-04         1.059  6.060000e+07

#species      type             A             B             C             D             E             F             G
[yields]
zr92      absolute  5.559800e-10  1.043900e-09  1.093500e-09  2.291000e-09  1.893900e-09  2.165800e-09  1.496600e-09
nb93      absolute  2.095970e-10  4.051100e-10  4.327200e-10  9.015500e-10  7.407400e-10  8.453100e-10  5.857500e-10
zr94      absolute  7.153900e-10  1.320600e-09  1.428300e-09  2.983300e-09  2.303000e-09  2.522300e-09  1.672700e-09
zr95      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
zr96      absolute  1.568100e-10  5.000000e-10  8.167500e-10  1.808600e-09  1.410700e-09  1.525100e-09  8.579100e-10
zr97      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
nb94      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
nb95      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
nb96      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
nb97      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
mo92      absolute  1.862900e-11  2.877400e-11  3.874600e-11  4.814300e-11  6.915800e-11  8.987800e-11  1.099500e-10
mo93      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
mo94      absolute  1.306400e-11  1.894100e-11  2.481300e-11  3.077100e-11  4.409500e-11  5.890400e-11  7.360400e-11
